Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2014 [YR2014],2017 [YR2017],2022 [YR2022],2023 [YR2023],2024 [YR2024]
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Finland,FIN,10.4739136902235,10.0525206084322,9.6573147330322,9.62392843667484,9.71402259549133,9.28522659633957
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Germany,DEU,17.2272861923698,17.2097149731509,15.850578794452,17.4981505573659,17.7818374796623,17.9772990379432
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Greece,GRC,10.1435850577284,11.5060312558605,12.1148895809545,14.4708651762207,15.1515337740903,15.011494857431
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Hungary,HUN,21.2196345000288,16.6901975118435,17.2630732776764,18.4048917258431,18.1090060941165,20.0996259812318
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Ireland,IRL,25.5863586944318,24.9189231516136,29.3340262522775,46.7867801497714,47.7737732849219,53.5184328432158
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Italy,ITA,7.59501140176072,7.73691381710463,7.8052686500986,9.15916231271025,9.9836968942283,11.629880473073
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Latvia,LVA,11.406411147512,17.7278751994184,16.0817754609296,17.5505893709401,18.554389354563,17.4901914812882
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Lithuania,LTU,11.0422224951685,11.1391744920283,12.5193567980791,12.9963941333635,14.4028959953361,17.3245400755804
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Luxembourg,LUX,8.68486923570019,5.97251741023821,6.9688410293022,5.9904603893658,5.979250210644,5.0736120319212
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Malta,MLT,45.9493963950339,34.7084179812082,30.3770554777466,38.9615851886187,43.2692793209479,45.179167089137
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Netherlands,NLD,25.4832942720764,24.5559687632591,22.9219025245367,21.9578380124342,23.7850619402623,23.4680052763745
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Poland,POL,7.81151383868806,10.0686277870269,10.6673187252222,11.6325877772755,12.1223189735947,13.5099699026858
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Portugal,PRT,4.49299865197501,4.88070967963708,5.98812595371655,6.99049160072585,6.71084167998399,6.77343918950435
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Slovenia,SVN,6.66177191299701,6.41719007974407,6.50844824804584,8.56978643924213,8.20345582131026,8.34338034336379
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Slovak Republic,SVK,9.56862397042366,11.14773596298,11.7654202302728,8.49041601420597,9.7184584659913,10.5935553645599
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Sweden,SWE,17.9838317924104,17.8774672401497,15.1103424459526,17.2566541363702,17.6238520277113,17.6524551082203
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,France,FRA,26.6906319566323,27.4702736686884,26.0180218998669,22.9831834447063,23.6797082010726,23.1371073769038
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Romania,ROU,8.17987951236471,8.41047672645864,9.77959738479042,11.85733755602,12.6747408327123,13.4497511493721
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Spain,ESP,7.25080663420199,6.91215361464722,6.99949013494316,12.5837187911388,9.56253561613111,9.28447661569937
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Austria,AUT,4.909,5.674,5.561,4.992,5.264,5.2
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Belgium,BEL,7.542,8.523,7.09,5.57,5.547,5.7
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bulgaria,BGR,12.27,11.424,6.164,4.148,4.319,4.2
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Cyprus,CYP,12.097,16.277,11.155,6.806,5.835,4.9
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Croatia,HRV,16.046,17.209,11.078,6.811,6.121,5
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Czechia,CZE,6.979,6.108,2.893,2.224,2.579,2.6
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Denmark,DNK,7.798,6.925,5.833,4.434,5.094,5.358
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Estonia,EST,10.021,7.352,5.807,5.571,6.378,7.6
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Finland,FIN,7.689,8.663,8.64,6.719,7.149,8.4
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Germany,DEU,5.372,4.979,3.781,3.137,3.071,3.4
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Greece,GRC,24.731,26.708,21.413,12.426,11.023,10.02
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Hungary,HUN,11.003,7.725,4.156,3.583,4.096,4.5
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Ireland,IRL,15.451,11.858,6.713,4.465,4.243,4.3
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Italy,ITA,10.655,12.683,11.211,8.069,7.627,6.5
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Latvia,LVA,15.047,10.846,8.715,6.815,6.465,6.9
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Lithuania,LTU,13.365,10.698,7.073,5.955,6.841,6.851
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Luxembourg,LUX,5.03,6.044,5.523,4.588,5.184,6.4
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Malta,MLT,6.203,5.737,4.008,3.471,3.479,3.1
